,file_name,text_id,text,confidence,polygon
69,p7,1,詹接生来铜商建场,0.5090543031692505,"[[605, 2], [675, 3], [667, 573], [596, 572]]"
70,p7,2,張進先反妻卯辦的,0.4562651515007019,"[[766, 0], [849, 0], [840, 594], [752, 592]]"
71,p7,3,唐月三日和月四,0.5775954127311707,"[[443, 149], [499, 150], [492, 787], [436, 786]]"
72,p7,4,唐月日和尽三,0.7124249339103699,"[[696, 146], [760, 149], [732, 828], [668, 825]]"
73,p7,5,中,0.4212700426578522,"[[123, 269], [164, 269], [164, 349], [123, 349]]"
74,p7,6,书家戈我着,0.3861270546913147,"[[267, 261], [350, 261], [350, 636], [267, 636]]"
75,p7,7,陵江去甘,0.6599355936050415,"[[361, 272], [425, 274], [414, 625], [350, 623]]"
76,p7,8,家正隆桶,0.6153364777565002,"[[523, 289], [587, 292], [573, 653], [508, 650]]"
77,p7,9,黄四哥吉稠香童的司,0.4195810556411743,"[[27, 318], [102, 317], [111, 833], [37, 833]]"
78,p7,10,謝荣,0.6455090045928955,"[[108, 322], [189, 322], [189, 571], [108, 571]]"
79,p7,11,着,0.2754192650318146,"[[111, 542], [194, 542], [194, 701], [111, 701]]"
80,p7,12,专着,0.294066458940506,"[[212, 545], [262, 549], [255, 636], [205, 632]]"
81,p7,13,,0.0,"[[295, 619], [313, 638], [295, 657], [276, 638]]"
82,p7,14,净,0.9918442368507384,"[[362, 613], [395, 613], [395, 643], [362, 643]]"
83,p7,15,毛,0.996510684490204,"[[393, 615], [421, 615], [421, 644], [393, 644]]"
84,p7,16,净,0.9890350103378296,"[[204, 629], [229, 629], [229, 660], [204, 660]]"
85,p7,17,m,0.210390955209732,"[[314, 631], [334, 617], [347, 636], [327, 650]]"
86,p7,18,p,0.2341255843639373,"[[280, 644], [309, 648], [306, 675], [276, 671]]"
87,p7,19,同,0.3437120318412781,"[[315, 639], [344, 639], [344, 668], [315, 668]]"
88,p7,20,丽,0.2822879552841186,"[[356, 640], [397, 636], [400, 659], [358, 663]]"
89,p7,21,,0.0,"[[389, 635], [421, 635], [421, 659], [389, 659]]"
90,p7,22,净,0.8850034475326538,"[[505, 637], [544, 641], [536, 726], [497, 722]]"
91,p7,23,毛,0.8794810175895691,"[[542, 638], [575, 640], [570, 722], [537, 720]]"
92,p7,24,的香,0.5549722909927368,"[[194, 665], [265, 662], [273, 833], [201, 833]]"
93,p7,25,B,0.1604869216680526,"[[201, 658], [225, 658], [225, 681], [201, 681]]"
94,p7,26,香,0.2943977117538452,"[[121, 669], [182, 666], [191, 833], [129, 833]]"
95,p7,27,11a,0.4124313294887543,"[[368, 662], [407, 662], [407, 691], [368, 691]]"
96,p7,28,的香,0.7231589555740356,"[[281, 686], [355, 688], [351, 833], [276, 833]]"
97,p7,29,的面,0.5730557441711426,"[[356, 682], [417, 682], [417, 833], [356, 833]]"
98,p7,30,的雷,0.4882155358791351,"[[503, 719], [572, 721], [569, 833], [500, 833]]"
99,p4,1,家日五和月,0.5338120460510254,"[[23, 164], [88, 164], [92, 829], [26, 829]]"
100,p4,2,日四日和月,0.6200131177902222,"[[94, 164], [166, 163], [172, 830], [100, 830]]"
101,p4,3,唐日和,0.4301823079586029,"[[164, 162], [246, 161], [256, 830], [174, 830]]"
102,p4,4,唐日日和月礼,0.7636011242866516,"[[240, 166], [312, 164], [333, 830], [261, 830]]"
103,p4,5,唐月和,0.616483211517334,"[[311, 167], [387, 165], [408, 830], [332, 830]]"
104,p4,6,日初日和月五市,0.6825106739997864,"[[388, 163], [465, 161], [484, 828], [408, 830]]"
105,p4,7,晨日初级和叁月办四,0.6256970763206482,"[[456, 158], [543, 155], [571, 830], [484, 830]]"
106,p4,8,唐日初和月日三市,0.6987705826759338,"[[535, 158], [627, 153], [660, 830], [568, 830]]"
107,p4,9,唐日初柒和叁月初瓜,0.5989153385162354,"[[615, 161], [703, 156], [739, 830], [651, 830]]"
108,p4,10,唐日初和月初畫,0.7507852911949158,"[[696, 159], [783, 154], [823, 830], [737, 830]]"
109,p4,11,唐月初,0.7641001343727112,"[[790, 163], [842, 161], [845, 382], [797, 384]]"
110,p5,1,艾服对,0.3434732258319855,"[[418, 3], [480, 2], [489, 596], [427, 597]]"
111,p5,2,補成年对林自過,0.3647158443927765,"[[98, 17], [174, 16], [186, 599], [110, 601]]"
112,p5,3,又,0.8994415998458862,"[[171, 15], [254, 13], [268, 600], [184, 602]]"
113,p5,4,,0.0,"[[254, 17], [328, 15], [342, 598], [269, 600]]"
114,p5,5,邱朝陽換,0.4298811554908752,"[[336, 18], [399, 16], [410, 431], [347, 432]]"
115,p5,6,景顺長,0.5837094783782959,"[[486, 10], [572, 8], [587, 590], [500, 592]]"
116,p5,7,家甲篇正素,0.6155552268028259,"[[578, 18], [644, 18], [649, 586], [583, 587]]"
117,p5,8,唐月拾日和月,0.5732517242431641,"[[661, 154], [734, 153], [742, 830], [669, 830]]"
118,p5,9,唐日拾八日和月日六,0.5411760807037354,"[[740, 152], [817, 151], [822, 830], [745, 830]]"
119,p5,10,,0.0,"[[337, 396], [422, 396], [422, 599], [337, 599]]"
120,p5,11,,0.0,"[[0, 525], [29, 525], [29, 600], [0, 600]]"
121,p3,1,唐元月和月十九日年,0.6063109040260315,"[[580, 142], [657, 140], [675, 830], [599, 830]]"
122,p3,2,為元日和月八五,0.6896042823791504,"[[665, 140], [747, 138], [762, 830], [680, 830]]"
123,p3,3,為元目五日和月サ年四年,0.6151970028877258,"[[746, 135], [837, 135], [840, 830], [750, 830]]"
124,p3,4,初四日和月初六弟,0.7344985604286194,"[[4, 152], [76, 146], [141, 819], [69, 826]]"
125,p3,5,唐月初日和叁月初四每三,0.733451247215271,"[[249, 153], [321, 148], [369, 828], [297, 830]]"
126,p3,6,唐元月三日和叁月初市,0.6998582482337952,"[[333, 155], [402, 150], [445, 826], [376, 830]]"
127,p3,7,唐元月九和日初，市,0.717345654964447,"[[416, 149], [482, 145], [517, 826], [451, 829]]"
128,p3,8,底元目廿八日和叁月初禮,0.7265233397483826,"[[494, 146], [570, 144], [595, 825], [519, 828]]"
129,p3,9,唐日初日和日初市,0.7330895066261292,"[[91, 157], [163, 152], [216, 820], [144, 826]]"
130,p3,10,唐月初日和月初四市,0.7808926105499268,"[[176, 158], [242, 153], [291, 825], [225, 829]]"
131,p3,11,i,0.3271717131137848,"[[0, 464], [33, 464], [30, 580], [0, 579]]"
